record_id,employee_id,year,department,role,gender,age,years_at_company,salary_base_pln,bonus_pct,total_comp_pln,location,employment_type,performance_band,manager_flag,outlier_flag
1009-2019,1009,2019,Sales,Account Executive,male,41,5,107303.76,0.1468,123061.21,Krakow,full_time,low,0,0
1009-2020,1009,2020,Sales,Account Executive,male,42,6,120651.02,0.1882,143362.4,Krakow,full_time,low,0,0
1009-2021,1009,2021,Sales,Account Executive,male,43,7,122940.36,0.2195,149929.31,Krakow,full_time,low,0,0
1009-2022,1009,2022,Sales,Account Executive,male,44,8,118114.21,0.1447,135203.68,Krakow,full_time,low,0,0
1009-2023,1009,2023,Sales,Account Executive,male,45,9,128198.77,0.1039,141516.89,Krakow,full_time,low,0,0
1009-2024,1009,2024,Sales,Account Executive,male,46,10,148175.61,0.1854,175649.17,Krakow,full_time,low,0,0
1009-2025,1009,2025,Sales,Account Executive,male,47,11,130754.55,0.2132,158636.13,Krakow,full_time,low,0,0
1010-2023,1010,2023,Customer Success,Customer Success Specialist,male,46,0,114975.35,0.0343,118914.32,Warsaw,full_time,medium,0,0
1010-2024,1010,2024,Customer Success,Customer Success Specialist,male,47,1,108159.39,0.0836,117198.93,Warsaw,full_time,medium,0,0
1010-2025,1010,2025,Customer Success,Customer Success Specialist,male,48,2,120691.5,0.024,123592.81,Warsaw,full_time,medium,0,0
1011-2016,1011,2016,Engineering,DevOps Engineer,male,29,6,117295.27,0.2235,143513.2,Remote,full_time,low,0,0
1011-2017,1011,2017,Engineering,DevOps Engineer,male,30,7,132353.72,0.0343,136888.73,Remote,full_time,low,0,0
1011-2018,1011,2018,Engineering,DevOps Engineer,male,31,8,138833.47,0.2406,172237.19,Remote,full_time,low,0,0
1011-2019,1011,2019,Engineering,DevOps Engineer,male,32,9,144731.51,0.0635,153925.46,Remote,full_time,low,0,0
1011-2020,1011,2020,Engineering,DevOps Engineer,male,33,10,139848.44,0.0864,151927.65,Remote,full_time,low,0,0
1011-2021,1011,2021,Engineering,DevOps Engineer,male,34,11,149589.72,0.2102,181040.39,Remote,full_time,low,0,0
1011-2022,1011,2022,Engineering,DevOps Engineer,male,35,12,176487.95,0.2298,217038.84,Remote,full_time,low,0,0
1011-2023,1011,2023,Engineering,DevOps Engineer,male,36,13,171123.04,0.168,199870.56,Remote,full_time,low,0,0
1011-2024,1011,2024,Engineering,DevOps Engineer,male,37,14,176036.41,0.2052,212153.8,Remote,full_time,low,0,0
1011-2025,1011,2025,Engineering,DevOps Engineer,male,38,15,208543.32,0.1413,238012.87,Remote,full_time,low,0,0
1012-2016,1012,2016,Operations,Operations Specialist,male,58,5,94955.0,0.0778,102337.79,Wroclaw,full_time,medium,0,0
1012-2017,1012,2017,Operations,Operations Specialist,male,59,6,107071.16,0.0904,116751.77,Wroclaw,full_time,medium,0,0
1012-2018,1012,2018,Operations,Operations Specialist,male,60,7,102773.22,0.0407,106954.25,Wroclaw,full_time,medium,0,0
1012-2019,1012,2019,Operations,Operations Specialist,male,61,8,109987.41,0.0517,115672.53,Wroclaw,full_time,medium,0,0
1012-2020,1012,2020,Operations,Operations Specialist,male,62,9,110516.7,0.049,115935.41,Wroclaw,full_time,medium,0,0
1012-2021,1012,2021,Operations,Operations Specialist,male,63,10,118067.47,0.0404,122836.16,Wroclaw,full_time,medium,0,0
1012-2022,1012,2022,Operations,Operations Specialist,male,64,11,121059.14,0.0547,127681.93,Wroclaw,full_time,medium,0,0
1012-2023,1012,2023,Operations,Operations Specialist,male,65,12,151018.95,0.064,160682.7,Wroclaw,full_time,medium,0,0
1012-2024,1012,2024,Operations,Operations Specialist,male,66,13,139112.88,0.0368,144227.17,Wroclaw,full_time,medium,0,0
1012-2025,1012,2025,Operations,Operations Specialist,male,67,14,165391.23,0.0568,174786.35,Wroclaw,full_time,medium,0,0
1013-2017,1013,2017,Operations,Supply Chain Analyst,male,39,0,85546.09,0.0912,93351.87,Gdansk,full_time,low,0,0
1013-2018,1013,2018,Operations,Supply Chain Analyst,male,40,1,91471.94,0.0211,93398.15,Gdansk,full_time,low,0,0
1013-2019,1013,2019,Operations,Supply Chain Analyst,male,41,2,88651.57,0.0239,90772.49,Gdansk,full_time,low,0,0
1013-2020,1013,2020,Operations,Supply Chain Analyst,male,42,3,102325.19,0.1055,113123.64,Gdansk,full_time,low,0,0
1013-2021,1013,2021,Operations,Supply Chain Analyst,male,43,4,93840.13,0.0475,98295.44,Gdansk,full_time,low,0,0
1013-2022,1013,2022,Operations,Supply Chain Analyst,male,44,5,109094.34,0.0541,114993.93,Gdansk,full_time,low,0,0
1013-2023,1013,2023,Operations,Supply Chain Analyst,male,45,6,113912.15,0.1144,126944.14,Gdansk,full_time,low,0,0
1013-2024,1013,2024,Operations,Supply Chain Analyst,male,46,7,126442.21,0.097,138704.76,Gdansk,full_time,low,0,0
1013-2025,1013,2025,Operations,Supply Chain Analyst,male,47,8,132130.87,0.0747,142006.03,Gdansk,full_time,low,0,0
1014-2016,1014,2016,Customer Success,Support Specialist,male,30,5,48360.51,0.0753,52002.99,Krakow,full_time,medium,0,1
1014-2017,1014,2017,Customer Success,Support Specialist,male,31,6,90020.28,0.1046,99432.51,Krakow,full_time,medium,0,0
1014-2018,1014,2018,Customer Success,Support Specialist,male,32,7,94952.97,0.0788,102431.12,Krakow,full_time,medium,0,0
1014-2019,1014,2019,Customer Success,Support Specialist,male,33,8,112813.63,0.0347,116731.54,Krakow,full_time,medium,0,0
1014-2020,1014,2020,Customer Success,Support Specialist,male,34,9,111187.13,0.0283,114328.33,Krakow,full_time,medium,0,0
1014-2021,1014,2021,Customer Success,Support Specialist,male,35,10,116165.12,0.0583,122938.34,Krakow,full_time,medium,0,0
1014-2022,1014,2022,Customer Success,Support Specialist,male,36,11,129355.63,0.0651,137770.46,Krakow,full_time,medium,0,0
1014-2023,1014,2023,Customer Success,Support Specialist,male,37,12,130284.72,0.0908,142114.41,Krakow,full_time,medium,0,0
1014-2024,1014,2024,Customer Success,Support Specialist,male,38,13,133894.73,0.102,147546.03,Krakow,full_time,medium,0,0
1014-2025,1014,2025,Customer Success,Support Specialist,male,39,14,152801.57,0.1004,168136.18,Krakow,full_time,medium,0,0
1015-2016,1015,2016,Engineering,Lead Engineer,male,50,0,173600.0,0.2187,211566.54,Krakow,b2b,medium,1,0
1015-2017,1015,2017,Engineering,Lead Engineer,male,51,1,181575.11,0.1181,203019.04,Krakow,b2b,medium,1,0
1015-2018,1015,2018,Engineering,Lead Engineer,male,52,2,193802.2,0.1011,213399.53,Krakow,b2b,medium,1,0
1015-2019,1015,2019,Engineering,Lead Engineer,male,53,3,210831.62,0.0303,217209.96,Krakow,b2b,medium,1,0
1015-2020,1015,2020,Engineering,Lead Engineer,male,54,4,215938.84,0.1096,239603.89,Krakow,b2b,medium,1,0
1015-2021,1015,2021,Engineering,Lead Engineer,male,55,5,223984.95,0.0888,243864.15,Krakow,b2b,medium,1,0
1015-2022,1015,2022,Engineering,Lead Engineer,male,56,6,243470.0,0.0567,257278.09,Krakow,b2b,medium,1,0
1015-2023,1015,2023,Engineering,Lead Engineer,male,57,7,257543.59,0.0984,282876.87,Krakow,b2b,medium,1,0
1015-2024,1015,2024,Engineering,Lead Engineer,male,58,8,242863.91,0.2308,298927.73,Krakow,b2b,medium,1,0
1015-2025,1015,2025,Engineering,Lead Engineer,male,59,9,292598.98,0.2352,361413.48,Krakow,b2b,medium,1,0
1016-2023,1016,2023,HR,Compensation Analyst,male,48,0,102234.23,0.105,112973.22,Wroclaw,full_time,medium,0,0
1016-2024,1016,2024,HR,Compensation Analyst,male,49,1,105367.59,0.0966,115551.25,Wroclaw,full_time,medium,0,0
1016-2025,1016,2025,HR,Compensation Analyst,male,50,2,113135.88,0.0746,121571.65,Wroclaw,full_time,medium,0,0
1017-2019,1017,2019,Product,Senior Product Manager,female,52,0,218627.64,0.2508,273453.93,Gdansk,b2b,high,1,0
1017-2020,1017,2020,Product,Senior Product Manager,female,53,1,236063.08,0.2554,296355.54,Gdansk,b2b,high,1,0
1017-2021,1017,2021,Product,Senior Product Manager,female,54,2,267680.52,0.2767,341739.04,Gdansk,b2b,high,1,0
1017-2022,1017,2022,Product,Senior Product Manager,female,55,3,275518.94,0.277,351839.49,Gdansk,b2b,high,1,0
1017-2023,1017,2023,Product,Senior Product Manager,female,56,4,262240.6,0.2162,318938.34,Gdansk,b2b,high,1,0
1017-2024,1017,2024,Product,Senior Product Manager,female,57,5,285089.09,0.2815,365354.69,Gdansk,b2b,high,1,0
1017-2025,1017,2025,Product,Senior Product Manager,female,58,6,304685.14,0.3118,399683.57,Gdansk,b2b,high,1,0
1018-2022,1018,2022,Sales,Key Account Manager,non_binary,28,0,162905.72,0.225,199558.7,Krakow,full_time,high,1,0
1018-2023,1018,2023,Sales,Key Account Manager,non_binary,29,1,169741.65,0.2885,218716.87,Krakow,full_time,high,1,0
1018-2024,1018,2024,Sales,Key Account Manager,non_binary,30,2,187211.34,0.1654,218184.46,Krakow,full_time,high,1,0
1018-2025,1018,2025,Sales,Key Account Manager,non_binary,31,3,208053.12,0.2132,252411.74,Krakow,full_time,high,1,0
1019-2016,1019,2016,Customer Success,Support Specialist,female,43,2,76532.26,0.0109,77365.76,Wroclaw,full_time,low,0,0
1019-2017,1019,2017,Customer Success,Support Specialist,female,44,3,84522.61,0.1095,93774.21,Wroclaw,full_time,low,0,0
1019-2018,1019,2018,Customer Success,Support Specialist,female,45,4,86402.78,0.0376,89648.84,Wroclaw,full_time,low,0,0
1019-2019,1019,2019,Customer Success,Support Specialist,female,46,5,100090.66,0.0811,108207.76,Wroclaw,full_time,low,0,0
1019-2020,1019,2020,Customer Success,Support Specialist,female,47,6,95646.68,0.0459,100040.6,Wroclaw,full_time,low,0,0
1019-2021,1019,2021,Customer Success,Support Specialist,female,48,7,94566.92,0.1105,105015.01,Wroclaw,full_time,low,0,0
1019-2022,1019,2022,Customer Success,Support Specialist,female,49,8,113795.34,0.1057,125828.48,Wroclaw,full_time,low,0,0
1019-2023,1019,2023,Customer Success,Support Specialist,female,50,9,114291.67,0.0897,124539.5,Wroclaw,full_time,low,0,0
1019-2024,1019,2024,Customer Success,Support Specialist,female,51,10,136227.08,0.069,145629.88,Wroclaw,full_time,low,0,0
1019-2025,1019,2025,Customer Success,Support Specialist,female,52,11,124181.66,0.0509,130497.8,Wroclaw,full_time,low,0,0
1020-2016,1020,2016,Finance,Finance Manager,female,43,1,134770.26,0.0642,143420.99,Remote,full_time,medium,1,0
1020-2017,1020,2017,Finance,Finance Manager,female,44,2,140910.18,0.1144,157034.8,Remote,full_time,medium,1,0
1020-2018,1020,2018,Finance,Finance Manager,female,45,3,157469.47,0.0556,166230.65,Remote,full_time,medium,1,0
1020-2019,1020,2019,Finance,Finance Manager,female,46,4,162041.61,0.0859,175965.98,Remote,full_time,medium,1,0
1020-2020,1020,2020,Finance,Finance Manager,female,47,5,165654.06,0.0854,179805.03,Remote,full_time,medium,1,0
1020-2021,1020,2021,Finance,Finance Manager,female,48,6,189405.81,0.1165,211472.1,Remote,full_time,medium,1,0
1020-2022,1020,2022,Finance,Finance Manager,female,49,7,204858.74,0.0757,220363.69,Remote,full_time,medium,1,0
1020-2023,1020,2023,Finance,Finance Manager,female,50,8,162918.09,0.0326,168224.76,Remote,full_time,medium,1,0
1020-2024,1020,2024,Finance,Finance Manager,female,51,9,220500.83,0.0461,230675.08,Remote,full_time,medium,1,0
1020-2025,1020,2025,Finance,Finance Manager,female,52,10,217082.73,0.1186,242834.82,Remote,full_time,medium,1,0
1021-2016,1021,2016,HR,Recruiter,female,27,4,81155.53,0.078,87484.35,Warsaw,full_time,high,0,0
1021-2017,1021,2017,HR,Recruiter,female,28,5,99639.95,0.1125,110849.04,Warsaw,full_time,high,0,0
1021-2018,1021,2018,HR,Recruiter,female,29,6,111708.79,0.0784,120462.3,Warsaw,full_time,high,0,0
1021-2019,1021,2019,HR,Recruiter,female,30,7,102197.88,0.0568,108001.74,Warsaw,full_time,high,0,0
1021-2020,1021,2020,HR,Recruiter,female,31,8,99234.03,0.1493,114045.83,Warsaw,full_time,high,0,0
1021-2021,1021,2021,HR,Recruiter,female,32,9,119076.56,0.1025,131284.65,Warsaw,full_time,high,0,0
1021-2022,1021,2022,HR,Recruiter,female,33,10,150936.87,0.0591,159857.7,Warsaw,full_time,high,0,0
1021-2023,1021,2023,HR,Recruiter,female,34,11,135542.82,0.1436,155009.34,Warsaw,full_time,high,0,0
1021-2024,1021,2024,HR,Recruiter,female,35,12,162156.84,0.1141,180656.42,Warsaw,full_time,high,0,0
1021-2025,1021,2025,HR,Recruiter,female,36,13,144444.23,0.069,154408.88,Warsaw,full_time,high,0,0
1022-2019,1022,2019,Customer Success,Customer Success Specialist,non_binary,41,0,111674.69,0.0406,116213.43,Warsaw,b2b,medium,0,0
1022-2020,1022,2020,Customer Success,Customer Success Specialist,non_binary,42,1,120981.73,0.0775,130356.97,Warsaw,b2b,medium,0,0
1022-2021,1022,2021,Customer Success,Customer Success Specialist,non_binary,43,2,124859.48,0.0132,126505.73,Warsaw,b2b,medium,0,0
1022-2022,1022,2022,Customer Success,Customer Success Specialist,non_binary,44,3,87911.52,0.0723,94267.12,Warsaw,b2b,medium,0,1
1022-2023,1022,2023,Customer Success,Customer Success Specialist,non_binary,45,4,123980.27,0.0684,132454.71,Warsaw,b2b,medium,0,0
1022-2024,1022,2024,Customer Success,Customer Success Specialist,non_binary,46,5,139226.98,0.0955,152516.47,Warsaw,b2b,medium,0,0
1022-2025,1022,2025,Customer Success,Customer Success Specialist,non_binary,47,6,160736.7,0.0155,163223.92,Warsaw,b2b,medium,0,0
1023-2023,1023,2023,Sales,Sales Manager,female,49,0,158075.41,0.1459,181142.64,Poznan,full_time,medium,1,0
1024-2016,1024,2016,HR,HR Specialist,female,33,8,96403.47,0.1093,106936.01,Krakow,full_time,high,0,0
1024-2017,1024,2017,HR,HR Specialist,female,34,9,113412.51,0.0725,121632.67,Krakow,full_time,high,0,0
1024-2018,1024,2018,HR,HR Specialist,female,35,10,126611.98,0.0699,135466.32,Krakow,full_time,high,0,0
1024-2019,1024,2019,HR,HR Specialist,female,36,11,118162.91,0.1073,130844.32,Krakow,full_time,high,0,0
1024-2020,1024,2020,HR,HR Specialist,female,37,12,124356.77,0.0669,132678.47,Krakow,full_time,high,0,0
1024-2021,1024,2021,HR,HR Specialist,female,38,13,135859.41,0.0855,147469.7,Krakow,full_time,high,0,0
1024-2022,1024,2022,HR,HR Specialist,female,39,14,145317.12,0.045,151854.5,Krakow,full_time,high,0,0
1024-2023,1024,2023,HR,HR Specialist,female,40,15,125635.34,0.1433,143639.21,Krakow,full_time,high,0,0
1024-2024,1024,2024,HR,HR Specialist,female,41,16,175532.57,0.0901,191351.15,Krakow,full_time,high,0,0
1024-2025,1024,2025,HR,HR Specialist,female,42,17,201294.71,0.077,216789.71,Krakow,full_time,high,0,0
1025-2024,1025,2024,HR,HR Business Partner,male,44,0,104792.4,0.1041,115699.44,Warsaw,full_time,medium,0,0
1025-2025,1025,2025,HR,HR Business Partner,male,45,1,105993.73,0.115,118179.35,Warsaw,full_time,medium,0,0
1026-2018,1026,2018,Engineering,Architect,male,34,0,191603.54,0.0486,200906.35,Poznan,full_time,medium,1,0
1026-2019,1026,2019,Engineering,Architect,male,35,1,189507.23,0.1267,213512.64,Poznan,full_time,medium,1,0
1026-2020,1026,2020,Engineering,Architect,male,36,2,208524.46,0.1152,232553.07,Poznan,full_time,medium,1,0
1026-2021,1026,2021,Engineering,Architect,male,37,3,210546.72,0.1724,246846.49,Poznan,full_time,medium,1,0
1026-2022,1026,2022,Engineering,Architect,male,38,4,212238.42,0.0854,230371.87,Poznan,full_time,medium,1,0
1026-2023,1026,2023,Engineering,Architect,male,39,5,246451.59,0.1033,271919.81,Poznan,full_time,medium,1,0
1026-2024,1026,2024,Engineering,Architect,male,40,6,254690.48,0.1743,299091.2,Poznan,full_time,medium,1,0
1026-2025,1026,2025,Engineering,Architect,male,41,7,248830.24,0.0981,273242.48,Poznan,full_time,medium,1,0
1027-2016,1027,2016,Customer Success,Support Specialist,male,61,6,92343.68,0.0635,98206.56,Remote,full_time,medium,0,0
1027-2017,1027,2017,Customer Success,Support Specialist,male,62,7,98463.74,0.0967,107984.51,Remote,full_time,medium,0,0
1027-2018,1027,2018,Customer Success,Support Specialist,male,63,8,109346.56,0.0142,110894.05,Remote,full_time,medium,0,0
1027-2019,1027,2019,Customer Success,Support Specialist,male,64,9,114475.03,0.027,117562.17,Remote,full_time,medium,0,0
1027-2020,1027,2020,Customer Success,Support Specialist,male,65,10,117497.68,0.0282,120812.21,Remote,full_time,medium,0,0
1027-2021,1027,2021,Customer Success,Support Specialist,male,66,11,115364.22,0.1167,128822.01,Remote,full_time,medium,0,0
1027-2022,1027,2022,Customer Success,Support Specialist,male,67,12,131314.26,0.0687,140340.97,Remote,full_time,medium,0,0
1027-2023,1027,2023,Customer Success,Support Specialist,male,68,13,148372.07,0.0313,153022.31,Remote,full_time,medium,0,0
1027-2024,1027,2024,Customer Success,Support Specialist,male,69,14,172340.65,0.041,179405.74,Remote,full_time,medium,0,0
1027-2025,1027,2025,Customer Success,Support Specialist,male,70,15,150870.51,0.032,155693.35,Remote,full_time,medium,0,0
1028-2019,1028,2019,Marketing,Content Manager,female,52,0,128772.33,0.1014,141831.8,Poznan,full_time,medium,1,0
1028-2020,1028,2020,Marketing,Content Manager,female,53,1,150230.85,0.0129,152173.89,Poznan,full_time,medium,1,0
1028-2021,1028,2021,Marketing,Content Manager,female,54,2,145774.7,0.0347,150832.97,Poznan,full_time,medium,1,0
1028-2022,1028,2022,Marketing,Content Manager,female,55,3,173269.94,0.0251,177625.25,Poznan,full_time,medium,1,0
1028-2023,1028,2023,Marketing,Content Manager,female,56,4,179586.65,0.0616,190649.56,Poznan,full_time,medium,1,0
1028-2024,1028,2024,Marketing,Content Manager,female,57,5,151511.94,0.0704,162173.61,Poznan,full_time,medium,1,0
1028-2025,1028,2025,Marketing,Content Manager,female,58,6,191030.97,0.0234,195501.73,Poznan,full_time,medium,1,0
1029-2016,1029,2016,Finance,Finance Manager,male,57,6,157746.96,0.0776,169992.71,Warsaw,full_time,medium,1,0
1029-2017,1029,2017,Finance,Finance Manager,male,58,7,161340.02,0.0676,172243.91,Warsaw,full_time,medium,1,0
1030-2024,1030,2024,Operations,Operations Specialist,male,54,0,103235.57,0.0493,108323.05,Poznan,full_time,medium,0,0
1030-2025,1030,2025,Operations,Operations Specialist,male,55,1,106570.15,0.0949,116679.95,Poznan,full_time,medium,0,0
1031-2016,1031,2016,Operations,Operations Manager,female,46,3,158716.71,0.1213,177965.48,Remote,full_time,high,1,0
1031-2017,1031,2017,Operations,Operations Manager,female,47,4,167170.26,0.0473,175082.53,Remote,full_time,high,1,0
1031-2018,1031,2018,Operations,Operations Manager,female,48,5,169805.37,0.0501,178307.07,Remote,full_time,high,1,0
1031-2019,1031,2019,Operations,Operations Manager,female,49,6,187204.03,0.1464,214608.27,Remote,full_time,high,1,0
1031-2020,1031,2020,Operations,Operations Manager,female,50,7,188295.11,0.0709,201639.34,Remote,full_time,high,1,0
